日期,上價,中價,下價,平均價,增減%,交易量(公斤),增減%
086/03/21,30,20,10,26.2,42,470,-50
086/03/22,30,20,10,23.5,-10,567,21
086/03/23,35,25,15,25.9,10,"1,434",153
086/03/24,35,25,15,18.1,-30,"1,296",-10
086/03/26,35,25,15,20.1,  -  ,"1,165",  -  
086/03/27,35,25,15,23.7,18,"1,070",-8
086/03/28,35,25,15,17,-28,"1,470",37
086/03/29,35,25,15,13.9,-18,"2,075",41
086/03/30,30,20,10,18,29,"2,210",7
086/03/31,25,18,8,18.3,2,"1,734",-22
086/04/01,25,18,8,14.2,-22,"2,243",29
086/04/02,20,14,8,15.3,8,"2,090",-7
086/04/03,25,18,10,17.2,12,"1,653",-21
086/04/04,25,18,10,14.8,-14,"3,214",94
086/04/07,18,12,6,9.8,  -  ,"6,185",  -  
086/04/08,15,10,5,9,-8,"5,641",-9
086/04/09,16,11,5,9.2,2,"4,400",-22
086/04/10,17,11,5,9.7,5,"3,825",-13
086/04/11,20,14,8,13.1,35,"2,962",-23
086/04/12,20,13,6,13.8,5,"3,629",23
086/04/13,25,15,6,13.3,-4,"4,711",30
086/04/14,25,16,7,13.5,2,"4,620",-2
086/04/15,22,14,6,14.7,9,"5,407",17
086/04/17,20,13,5,11.7,  -  ,"7,007",  -  
086/04/18,18,12,5,9.5,-19,"6,676",-5
086/04/19,15,10,5,10.4,9,"5,750",-14
086/04/20,18,12,5,11.9,14,"5,871",2
086/04/21,18,12,5,11,-8,"5,847",0
086/04/22,16,11,6,10.9,-1,"7,884",35
086/04/24,13,9,5,7.7,  -  ,"9,597",  -  
086/04/25,13,9,5,7.2,-6,"6,364",-34
086/04/26,15,10,5,9.4,31,"4,955",-22
086/04/27,17,12,6,12.5,33,"4,657",-6
086/04/28,16,11,6,11.8,-6,"4,948",6
086/04/29,15,10,5,9.8,-17,"7,536",52
086/04/30,15,10,5,7.7,-21,"7,254",-4
086/05/02,10,7,4,6,  -  ,"8,555",  -  
086/05/03,11,7,3,5.5,-8,"6,910",-19
086/05/04,11,7,3,6.9,25,"7,691",11
086/05/05,12,8,4,7.1,3,"10,930",42
086/05/06,10,7,4,7.7,8,"12,352",13
086/05/07,10,7,4,6.2,-19,"8,257",-33
086/05/08,10,7,3,6.3,2,"9,905",20
086/05/10,12,8,4,7.7,  -  ,"11,465",  -  
086/05/11,15,10,5,8.8,14,"7,529",-34
086/05/12,15,10,5,9.3,6,"5,748",-24
086/05/13,14,9,4,9.6,3,"5,216",-9
086/05/14,11,7,3,8.2,-15,"12,613",142
086/05/15,12,8,4,7.1,-13,"15,625",24
086/05/17,10,7,3,7.4,  -  ,"15,979",  -  
086/05/18,15,11,6,11.5,55,"9,307",-42
086/05/19,12,8,4,8.1,-30,"9,396",1
086/05/20,14,10,5,9.1,12,"9,225",-2
086/05/21,13,9,5,8.5,-7,"9,782",6
086/05/22,15,10,5,9.2,8,"10,463",7
086/05/24,25,18,10,19.5,  -  ,"6,669",  -  
086/05/25,28,20,10,20,3,"7,272",9
086/05/26,30,20,10,19.2,-4,"4,676",-36
086/05/27,35,23,10,23.1,20,"3,933",-16
086/05/28,35,23,10,21.8,-6,"12,270",212
086/05/29,35,25,12,27.4,26,"5,137",-58
086/05/30,35,25,15,25.2,-8,"6,370",24
086/06/01,33,25,15,24.1,  -  ,"6,416",  -  
086/06/02,30,20,10,21.5,-11,"6,020",-6
086/06/03,27,20,10,19.8,-8,"6,185",3
086/06/04,25,18,10,16.2,-18,"8,165",32
086/06/05,28,20,10,17.9,10,"8,110",-1
086/06/06,25,18,10,18.8,5,"7,795",-4
086/06/07,30,24,15,25.1,34,"6,802",-13
