year,day_of_year,special_avg,smooth_14day
2003,322,18.748303614337058,18.925335802866037
2004,322,23.730756693869132,24.053805887127066
2005,322,32.98601947224912,33.3805369559227
2006,322,26.144861298123764,26.830914503242717
2007,322,28.63410812118906,29.284832098267305
2009,322,25.806926340079105,26.15823864091203
2010,322,27.29163974015101,27.90020636897908
2011,322,31.12258123385425,31.494811731205903
2012,322,36.619845426875344,37.580767041245174
2014,322,32.945581429124275,33.256672421820674
2015,322,34.94648777751517,35.422217853439854
2016,322,46.32971238521327,47.36280226729038
2017,322,35.02121099110844,35.94018370141007
2018,322,33.13525289938335,33.8882675718475
2020,322,32.46085872815115,32.98420084321235
2021,322,36.91912306480322,37.813549920407254
2022,322,46.38779916499413,46.881778776161944
2023,322,42.620430973191404,43.76336266086694
2024,322,49.082460757830475,50.19788345351723
1996,323,14.622575686878665,14.659379397413858
1997,323,18.543554784771185,18.564656955244093
1998,323,25.11336542647833,25.500008004629002
1999,323,20.7070718681595,20.651956702431782
2000,323,27.030912984213224,27.39986696546805
2001,323,20.643167773978846,20.588222699163254
2002,323,18.73133336257078,18.836420259136183
2003,323,18.92213498852105,18.871770716235012
2004,323,23.950784603133773,23.97804008599676
2005,323,33.29186074790119,33.27522163776175
2006,323,26.387272412259303,26.74744112785706
2008,323,33.039951806504995,33.225313197005576
2009,323,26.04620417350029,26.075844199213844
2010,323,27.544683606804476,27.813071644378986
2011,323,31.411144998092457,31.39544586054089
2012,323,36.95937897529149,37.46384991290295
2013,323,34.30142914678209,34.49386770238413
2014,323,33.25104776948885,33.16254481648304
2015,323,35.27050621236835,35.31064329737701
2016,323,46.75927431972943,47.214884195385444
2017,323,35.34592224805206,35.82837057460909
2019,323,34.78569218993952,34.96685271710488
2020,323,32.761830794530105,33.026167961824065
2021,323,37.261431469234815,37.70806965584641
2022,323,46.81789967115703,46.74924590641498
2023,323,43.01560102360164,43.641593399802446
1996,324,15.207031911696436,14.657950327365834
1997,324,19.284730365345137,18.562844686373392
1998,324,26.11713268772762,25.497553665591578
1999,324,21.534722024346046,20.6499329921893
2000,324,28.111323555813637,27.3972252237569
2001,324,21.468263719030844,20.586205234292922
2002,324,19.480014348555688,18.830642859180788
2003,324,19.67844220947167,18.86992144857275
2004,324,24.908084154890048,23.975699366438466
2005,324,34.622517922569614,33.271968011173904
2007,324,30.054700066393544,29.2759184486305
2008,324,34.36054032076509,33.21512251744218
2009,324,27.0872564811137,26.07329869348038
2010,324,28.645629304700826,27.810379691663705
2011,324,32.66663100930609,31.392376037039742
2013,324,35.67243820936276,34.483287938979856
2014,324,34.58007367208885,33.159295178563546
2015,324,36.680248746769465,35.307196296993084
